Geneid,E1,E2,E3,E4,E5,E6
SL1344_RS03665,0,0,1,0,0,0
SL1344_RS03670,0,2,1,2,0,0
SL1344_RS03675,0,0,0,0,0,0
nei,30,53,88,1,9,3
SL1344_RS03685,12,22,34,4,4,3
SL1344_RS03690,4551,9014,15326,2608,3243,3871
SL1344_RS27370,696,1270,2183,121,172,187
sdhC,742,1240,1952,98,135,166
sdhD,124,298,545,106,65,118
sdhA,740,1686,2787,682,749,998
sdhB,470,946,1666,204,229,277
sucA,1459,3089,4919,706,872,996
odhB,337,739,1110,296,314,419
sucC,241,380,676,262,319,352
sucD,127,258,392,216,257,351
cydA,275,523,793,1360,1725,2078
cydX,0,3,2,0,2,6
ybgE,3,9,10,1,0,4
ybgC,5,4,5,0,3,3
tolQ,2,3,15,1,2,2
tolR,1,2,2,2,3,0
tolA,6,1,3,1,0,4
tolB,129,283,329,88,61,96
pal,239,498,817,161,238,268
cpoB,70,149,284,24,47,34
SL1344_RS03805,5,3,10,5,1,1
SL1344_RS03810,0,0,0,0,1,0
SL1344_RS03815,0,0,0,0,0,0
SL1344_RS03820,2,0,0,0,3,1
SL1344_RS03825,0,0,0,0,0,2
SL1344_RS24795,0,0,0,0,0,0
SL1344_RS24800,0,0,0,0,0,0
nadA,10,5,17,1,1,0
SL1344_RS03835,9,31,57,5,4,2
zitB,23,55,79,8,8,25
SL1344_RS03845,324,518,914,34,29,34
aroG,100,179,392,10,13,6
SL1344_RS03855,1,6,10,1,1,2
SL1344_RS03860,2,6,16,1,1,2
SL1344_RS03865,2,7,7,0,2,4
